Story text,Goal
"You are a unicorn! What a great thing to be. And not just any unicorn...a wish unicorn! That means you can grant wishes sometimes. Unfortunately, a dragon is trying to eat your princess friends. Will you go over to the magic kingdom to see what this is all about?",Go to the kingdom.
"You arrive in the magic kingdom and talk to the guard outside the castle. He says no one can come in on account of new dragon related precautions. However, he is corrupt and will let you in if you give him a nice present. What do you give him?",Successfully bribe the guard.
"You don't feel good about having to bribe your way into the castle, but now you're in. A sign says the king is taking his nap and is not to be disturbed. How do you pass the time while he is napping?",Do anything that passes the time.
"It's almost time to see the king, and you realize you're not dressed appropriately. How do you get some new, more appropriate clothes?",Obtain better clothes.
"Dressed fancily, you go to see the king. He explains the issue is the dragon is trying to eat the princessess. You already knew this, but want to make him feel like he is contributing something. How do you respond to his long, boring explanation?",Say something polite.
It's clear that you are the only creature who can help defeat the dragon. Do you offer to help?,Offer to help.
"You gallop out of the castle toward the dragon, who is menacing the princesses in a tower. What do you say to get his attention?",Say something to get the dragon's attention.
"The dragon says, ""Oh, hello! I'm just trying to eat these princesses. I wish I had a thousand princesses to eat."" You are a wish unicorn, but you don't want to give him a wish of a lot of princesses to eat. How do you change the subject?",Change the subject.
"The dragon likes talking to you, and eventually you get around to his real problem. He's just hungry! He can wish for some more filling food rather than princesses. What should he wish for?",Name a food the dragon might prefer.
"The dragon loves your food choices and asks for a thousand more wishes. You say no, but promise to give him one wish a year. The king asks to see you again to hear how it went. What do you say to him?",Deliver a positive report.
"The king is so pleased he offers you a gift of your choosing, up to half his kingdom. What do you choose?",Name an appropriate gift for a successful unicorn. 