Prompt,Goal,Relevant_skill,Difficulty
"Dang, it's a hot morning. You keep the venetian blinds of your office drawn. Well, your office for now. The landlord said he'd be back to scrape your name off the door on Monday if you don't come up with some rent money by then. But today's Friday, so you pour yourself a cool drink and wonder whose shadow you see hesitating outside that door. 

The door pushes open, and a woman walks in. Based on her fancy clothes, she doesn't look too badly off. Maybe she's got a lost dog you can track down. How do you open the conversation?",Start the mysterious woman talking.,Smarmy_appeal,5
She starts to lay out her story. Seems her sister Josephine Malarraga got involved in looking into the big buy out of the old RKO lot. Why anyone would care about that is beyond you.,,,
You are left with a name.,,,
"You go check out the nightclub, have to get the bartender talking.",,,
"You ask one too many questions, get shown out. Your car tires are slashed, how do you get home.",,,
Back at home you call up your friend at the newspaper.,,,
Your friend tells you that there were rumors. You try to recall something important.,,,
You decide to dig through some trash.,,Dogged determiantion.,
You find something,,,
It implies zeppelin related scams.,,,
You go to the airfield.,,,
"You have to convince a pilot to take you up, with charm.",,,
"Up in the air, you have to get onto the zeppelin.",,,
Inside your voice is very high and silly. You realize this is from something...,,,
"The helium starts to make you lightheaded, but you have to motivate to get out what do you think of?",,,